code,producto,forma_oficial,sin,codigo_e,clase,ya_en_tags
7501011154902,Pake-taxo Sabritas Botana Mezcladito Mezcladito,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011154902,Pake-taxo Sabritas Botana Mezcladito Mezcladito,azul brillante fcf,SIN133,E133,sintetico,True
7501011154865,Paketaxo Botanero,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011154865,Paketaxo Botanero,rojo allura ac,SIN129,E129,sintetico,False
7501011154865,Paketaxo Botanero,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501011159266,Receta Crujiente Flamin Hot,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011115590,Sabritas Crema y Especias,rojo allura ac,SIN129,E129,sintetico,True
7501011115590,Sabritas Crema y Especias,azul brillante fcf,SIN133,E133,sintetico,True
7500478007981,Queso,amarillo ocaso fcf,SIN110,E110,sintetico,True
7501011167735,Nacho,amarillo ocaso fcf,SIN110,E110,sintetico,True
7500478006571,Fritos Chorizo y Chipotle,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478006571,Fritos Chorizo y Chipotle,rojo allura ac,SIN129,E129,sintetico,True
7500478006571,Fritos Chorizo y Chipotle,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501011143258,Sabritas receta crujiente sabor jalapeño,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011167728,Torcidos,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011167728,Torcidos,rojo allura ac,SIN129,E129,sintetico,True
7501011167728,Torcidos,azul brillante fcf,SIN133,E133,sintetico,True
7501011155008,Paque-Taxo,amarillo ocaso fcf,SIN110,E110,sintetico,True
7501011155008,Paque-Taxo,azul brillante fcf,SIN133,E133,sintetico,True
7501011143265,Sabritas Chiles Rojo Receta crujiente,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011143265,Sabritas Chiles Rojo Receta crujiente,rojo allura ac,SIN129,E129,sintetico,True
7501011133921,Sabritas Adobadas,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011133921,Sabritas Adobadas,rojo allura ac,SIN129,E129,sintetico,True
7501011133921,Sabritas Adobadas,azul brillante fcf,SIN133,E133,sintetico,True
7501011153455,Quesabritas,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011153455,Quesabritas,rojo allura ac,SIN129,E129,sintetico,True
7501011153455,Quesabritas,azul brillante fcf,SIN133,E133,sintetico,True
7501011167759,Rancheritos,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011167759,Rancheritos,rojo allura ac,SIN129,E129,sintetico,True
7501011194465,Dip Tostitos sabor queso y jalapeño,extracto de annato,SIN160(b),E160b,natural_botanico,False
7500478012107,Botana surtida Paketaxo Sabritas party bowl,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478012107,Botana surtida Paketaxo Sabritas party bowl,azul brillante fcf,SIN133,E133,sintetico,True
7501011121997,Sabritas Stax Crema y cebolla,rojo allura ac,SIN129,E129,sintetico,True
7501011121997,Sabritas Stax Crema y cebolla,azul brillante fcf,SIN133,E133,sintetico,True
7501011121980,Sabritas Stax cheddar,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011134690,Sabritas Stax BBQ Picante,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011134690,Sabritas Stax BBQ Picante,rojo allura ac,SIN129,E129,sintetico,True
7501011134690,Sabritas Stax BBQ Picante,azul brillante fcf,SIN133,E133,sintetico,True
0038000185182,Pringles Chile y Limón,rojo allura ac,SIN129,E129,sintetico,True
0038000185212,Pringles Extra Hot,amarillo ocaso fcf,SIN110,E110,sintetico,False
0038000185212,Pringles Extra Hot,rojo allura ac,SIN129,E129,sintetico,True
7501011174184,Sunbites sabor Chiles Rojos,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011174184,Sunbites sabor Chiles Rojos,rojo allura ac,SIN129,E129,sintetico,True
7501011174184,Sunbites sabor Chiles Rojos,azul brillante fcf,SIN133,E133,sintetico,True
7501006559507,Act II Sabor Queso,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501006559484,Act II sabor Chile y Limón,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501006559484,Act II sabor Chile y Limón,rojo allura ac,SIN129,E129,sintetico,True
7501006559484,Act II sabor Chile y Limón,azul brillante fcf,SIN133,E133,sintetico,False
7501003114785,Palomitas Cinepolis Mantequilla,extracto de annato,SIN160(b),E160b,natural_botanico,False
0076150200249,Act II Minis Sabor Mantequilla,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501006559071,Act II sabor Mantequilla 3 Pack,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501006559088,Act II sabor Mantequilla Extra 3 Pack,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501006559309,Act II sabor Infierno ultra picante,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501006559309,Act II sabor Infierno ultra picante,rojo allura ac,SIN129,E129,sintetico,True
7501006559309,Act II sabor Infierno ultra picante,azul brillante fcf,SIN133,E133,sintetico,True
7501006559309,Act II sabor Infierno ultra picante,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501006559330,Act II sabor Chile y Limón,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501006559316,ACT II sabor Queso Jalapeño,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501006559323,Act II sabor Queso Xtremo,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501006559323,Act II sabor Queso Xtremo,rojo allura ac,SIN129,E129,sintetico,True
7501006559323,Act II sabor Queso Xtremo,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501006559026,Act II sabor Mantequilla Extra,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501003109095,Palomitas Cinepolis,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501003109088,Palomitas Cinepolis,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501006551075,Act II sabor Mantequilla Light,extracto de annato,SIN160(b),E160b,natural_botanico,False
7500478012138,Doritos ADN Incognita unidades,rojo allura ac,SIN129,E129,sintetico,True
