termino,codigo,bloque,forma_v1_parche15,forma_fina_v2,forma_v2,en_sinonimario_off
norbixina,E160b,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
rojo d&c6,E124,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
betanina,E162,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
caramelo,E150,fuera_de_eje,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
carmines,E120,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
caroteno,E160a,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
ci 14720,E122,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
ci 15985,E110,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
ci 16035,E129,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
ci 16255,E124,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
ci 19140,E102,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
ci 42090,E133,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
ci 45430,E127,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
ci 73015,E132,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
ci 75470,E120,naturales,numero_codigo,codigo_e_ci,numero_codigo,False
licopeno,E160d,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
achiote,E160b,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,True
annatto,E160b,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
atsuete,E160b,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
azafran,E164,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,True
curcuma,E100,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
hibisco,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
luteina,E161b,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
paprika,E160c,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
rojo 40,E129,sinteticos,numero_codigo,designacion_fdc,numero_codigo,True
verde 3,E143,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
verde s,E142,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
azul 1,E133,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
azul 2,E132,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
bixina,E160b,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
carmin,E120,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
rojo 3,E127,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
rojo 6,E124,sinteticos,numero_codigo,designacion_fdc,numero_codigo,False
e 102,E102,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,False
e 110,E110,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,True
e 129,E129,sinteticos,numero_codigo,codigo_e_ci,numero_codigo,True
e 150,E150,fuera_de_eje,numero_codigo,codigo_e_ci,numero_codigo,False
e150a,E150,fuera_de_eje,numero_codigo,codigo_e_ci,numero_codigo,True
e150b,E150,fuera_de_eje,numero_codigo,codigo_e_ci,numero_codigo,True
e150c,E150,fuera_de_eje,numero_codigo,codigo_e_ci,numero_codigo,True
e150d,E150,fuera_de_eje,numero_codigo,codigo_e_ci,numero_codigo,True
urucu,E160b,naturales,nombre_tecnico,nombre_comun_planta,nombre_comun_planta,False
