codigo,clase,termino,en_vocabulario_off,motivo_no_cubierto,off_mandatory_class,n_terminos_off_es,detecciones,P1_se_usa_en_etiqueta_mx,P2_declara_colorante,P3_codigo_correcto,P4_clase_correcta,comentario
E127,sintetico,rojo no. 3,False,sin_sinonimo,False,3,2,,,,,
E129,sintetico,fd&c rojo no. 40,False,sin_sinonimo,False,7,2,,,,,
E133,sintetico,ci 42090,False,sin_sinonimo,False,7,2,,,,,
E153,natural_botanico,carbon activado,False,sin_sinonimo,False,2,2,,,,,
E160d,natural_botanico,licopeno,True,,False,4,2,,,,,
E161b,natural_botanico,luteina,True,,False,3,2,,,,,
E100,natural_botanico,oleorresina de curcuma,False,sin_sinonimo,False,3,1,,,,,
E100,natural_botanico,extracto de curcuma,True,,False,3,1,,,,,
E102,sintetico,amarillo num. 5,False,sin_sinonimo,False,8,1,,,,,
E102,sintetico,ci 19140,False,sin_sinonimo,False,8,1,,,,,
E110,sintetico,sunset yellow,False,sin_sinonimo,False,10,1,,,,,
E120,carmin,carmines,True,,True,6,1,,,,,
E122,sintetico,ci 14720,False,sin_sinonimo,False,10,1,,,,,
