titulo,autores,anio,revista,doi,bloque,consulta,fuente_api
Comparison of essential oils compositions of Nepeta persica obtained by supercritical carbon dioxide extraction and steam distillation methods,"Khajeh, Mostafa; Yamini, Yadollah; Shariati, Shahab",2010,Food and Bioproducts Processing,10.1016/j.fbp.2008.11.003,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Effect of different drying conditions on the vitamin C (ascorbic acid) content of Hayward kiwifruits (Actinidia deliciosa Planch),"Kaya, Ahmet; Aydın, Orhan; Kolaylı, Sevgi",2010,Food and Bioproducts Processing,10.1016/j.fbp.2008.12.001,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
A continuous esterification of malonic acid with citronellol using packed bed reactor: Investigation of parameter and kinetics study,"Aziah Serri, N.; Kamaruddin, A.H.; Len, K.Y. Tau",2010,Food and Bioproducts Processing,10.1016/j.fbp.2008.12.002,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Nitrogen, sustainable agriculture and food security. A review","Spiertz, J. H. J.",2010,Agronomy for Sustainable Development,10.1051/agro:2008064,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Antioxidant activity of sparkling wines produced by Champenoise and Charmat methods,"Stefenon, C.A.; Colombo, M.; Bonesi, C. de M.; Marzarotto, V.; Vanderlinde, R.; Salvador, M.; Henriques, J.A.P.",2010,Food Chemistry,10.1016/j.foodchem.2009.01.022,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Arable land requirements based on food consumption patterns: Case study in rural Guyuan District, Western China","Zhen, Lin; Cao, Shuyan; Cheng, Shengkui; Xie, Gaodi; Wei, Yunjie; Liu, Xuelin; Li, Fen",2010,Ecological Economics,10.1016/j.ecolecon.2008.12.008,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Dynamical consequences of predator interference in a tri-trophic model food chain,"Naji, Raid Kamel; Upadhyay, Ranjit Kumar; Rai, Vikas",2010,Nonlinear Analysis: Real World Applications,10.1016/j.nonrwa.2009.01.026,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Food shelf life: estimation and optimal design,"Larsen, Ross A.; Schaalje, G. Bruce; Lawson, John S.",2010,Journal of Statistical Computation and Simulation,10.1080/00949650802549135,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
SORT-CC: A procedure for the statistical treatment of free sorting data,"Qannari, E.M.; Cariou, V.; Teillet, E.; Schlich, P.",2010,Food Quality and Preference,10.1016/j.foodqual.2009.01.003,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Seasonal food habits of corsac and red foxes in Mongolia and the potential for competition,"Murdoch, James D.; Munkhzul, Tserendorj; Buyandelger, Suuri; Reading, Richard P.; Sillero-Zubiri, Claudio",2010,Mammalian Biology,10.1016/j.mambio.2008.12.003,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Anthocyanins and polyphenol oxidase from dried arils of pomegranate (Punica granatum L.),"Jaiswal, Vidhan; DerMarderosian, Ara; Porter, John R.",2010,Food Chemistry,10.1016/j.foodchem.2009.01.095,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
POLYSACCHARIDES FROM MULBERRY LEAF IN RELATION TO THEIR ANTIOXIDANT ACTIVITY AND ANTIBACTERIAL ABILITY,"WANG, FANG; LI, JIANRONG; JIANG, YUEMING",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00258.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
IMAGE PROCESSING AND PHYSICO‐MECHANICAL PROPERTIES OF BASIL SEED (<i>OCIMUM BASILICUM</i>),"RAZAVI, SEYED M.A.; BOSTAN, A.; REZAIE, M.",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00259.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
STUDY ON INTERACTION AMONG EXTRUSION‐COOKING PROCESS VARIABLES AND ENZYME ACTIVITY: EVALUATION OF EXTRUDATE STRUCTURE,"DE PILLI, TERESA; LEGRAND, JACK; DEROSSI, ANTONIO; SEVERINI, CARLA",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00260.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
EFFECT OF SOLAR DRYING ON THE COMPOSITION OF ESSENTIAL OIL OF <i>SACHA CULANTRO</i> (<i>ERYNGIUM FOETIDUM</i> L.) GROWN IN THE PERUVIAN AMAZON,"BANOUT, JAN; HAVLIK, JAROSLAV; KULIK, MICHAL; KLOUCEK, PAVEL; LOJKA, BOHDAN; VALTEROVA, IRENA",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00261.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
PRELIMINARY AND COMPARATIVE STUDIES ON THE CULTIVATIONS OF <i>DUNALIELLA SALINA</i> BETWEEN OUTDOORS AND IN THE PHOTOBIOREACTOR,"JIANG, JIAN‐GUO; ZHU, YUE‐HUI",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00262.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
QUANTIFICATION OF FLUX DECLINE AND DESIGN OF ULTRAFILTRATION SYSTEM FOR CLARIFICATION OF TENDER COCONUT WATER,"JAYANTI, V.K.; RAI, P.; DASGUPTA, S.; DE, S.",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00264.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
IMPACT OF BLENDING OF FRYING OILS ON VISCOSITY AND HEAT TRANSFER COEFFICIENT AT ELEVATED TEMPERATURES,"DEBNATH, SUKUMAR; VIDYARTHI, SRIRAM KUMAR; SINGH, R. PAUL",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00265.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Hopf bifurcation analysis of a food-limited population model with delay,"Wan, Aying; Wei, Junjie",2010,Nonlinear Analysis: Real World Applications,10.1016/j.nonrwa.2009.01.052,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Risk Assessment of Choleragenic <i>Vibrio cholerae</i> 01 and 0139 in Warm‐water Shrimp in International Trade,"Arvanitoyannis, Ioannis S.",2010,International Journal of Food Science &amp; Technology,10.1111/j.1365-2621.2008.01832.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
<i>Enterobacter sakazakii</i> and <i>Salmonella</i> in Powdered Infant Formula: meeting report,"Arvanitoyannis, Ioannis S.",2010,International Journal of Food Science &amp; Technology,10.1111/j.1365-2621.2008.01833.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Handbook of Innovation in the Food and Drink Industry,"Arvanitoyannis, Ioannis S.",2010,International Journal of Food Science &amp; Technology,10.1111/j.1365-2621.2008.01834.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Carbohydrate Chemistry for Food Scientists,"Singh, Narpinder",2010,International Journal of Food Science &amp; Technology,10.1111/j.1365-2621.2008.01843.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Characteristic prefrontal blood volume patterns when imaging body type, high-calorie food, and mother–child attachment in childhood anorexia nervosa: A near infrared spectroscopy study","Nagamitsu, Shinichiro; Yamashita, Fumiko; Araki, Yuko; Iizuka, Chiho; Ozono, Shuichi; Komatsu, Hiroko; Ohya, Takashi; Yamashita, Yushiro; Kakuma, Tatsuyuki; Tsuda, Akira; Matsuishi, Toyojiro",2010,Brain and Development,10.1016/j.braindev.2009.01.002,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Classification and Antimicrobial Susceptibilities of<i>Enterococcus</i>Species Isolated from Apparently Healthy Food-Producing Animals in Japan,"Kojima, A.; Morioka, A.; Kijima, M.; Ishihara, K.; Asai, T.; Fujisawa, T.; Tamura, Y.; Takahashi, T.",2010,Zoonoses and Public Health,10.1111/j.1863-2378.2008.01204.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Development of a method to measure consumer emotions associated with foods,"King, Silvia C.; Meiselman, Herbert L.",2010,Food Quality and Preference,10.1016/j.foodqual.2009.02.005,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
