code,nombre,solo_en_texto,en_tags,ingredientes_texto
7503005273354,Palm Tree Cookies D´meals,['E102'],[],"Harina de trigo (gluten), grasa vegetal, margarina baja en grasa (grasa vegetal, sal yodada, lecitina de soya, propionato de sodio, saborizante artificial y natural, extracto de annato, antioxidante TBHQ), huevo deshidratado, sucralosa 50mg/100g de producto Splenda Butihidroxianisol (BHA) como antioxidante, saborizante artificial y color amarillo 5."
0019836200218,Boing,['E160a'],[],"Agua, pulpa de durazno, azúcar, dcido citrico, sorbitol, lecitina, colorante natural (Beta, beta-caroteno), saborizante artificial, eritorbato de sodio como antioxidante, 0,03% de benzoato de sodio y 0,005% de sorbato de potasio como conservadores, vitaminas A (equivalentes de Retinol, B1 (Tiamina) y C (Acido ascórbico), calcio y hierro."
7501505630073,Sangría Casera Pepsi,['E129'],[],"Agua carbonatada, azúcares (azúcar y/o jarabe de maíz), concentrado sangría casera, caramelo clase IV, ácido cítrico, benzoato de sodio, sucralosa y acesulfame K (mezcla: 3mh / 100 g de producto) rojo allura AC"
7802800727407,Zuko,"['E102', 'E171']",[],"Vitamina C
5% IDR
* Ingesta Diaria Recomendada para la Poblacion
Mexicana conforme a lo establecido en la
NOM-051-SCFI / SSA1-2010.
CONSERVAR EN LUGAR FRESCO Y SECO.
INGREDIENTES:Maltodextrina (agente de
volumen), acidulantes (acido citrico y
fumarico), espesantes (goma arabiga),
edulcorantes artificiales (aspartame*
2700 mg/100g y acesulfame K 2000
mg/100g), saborizante identico a natural
de limon, antihumectantes (fosfato
tricalcico), enturbiante (dioxido de
titanio), vitamina C, colorante artificial
(amarillo 5).
Este producto puede contener trazas
CONTIENE FENILALANINA.
de leche y productos lacteos, gluten,"
0096619387335,Dipped & chewy barra de granola con chispas de chocolate,['E170'],[],"COBERTURA DE CHOCOLATE CON LECHE [31%] (AZUCAR, MANTECA DE CACAO, SOLIDOS DE LA LECHE, PASTA DE CACAO, <span class=""allergen"">LECITINA DE SOYA</span>, VAINILLA EN POLVO), GRANOLA [24,3%] (HOJUELAS DE AVENAENTERAS 147%), HARINA DE ARROZ, AZUCAR, GLUCOSA-FRUCTOSA, ACEITE VEGETAL DE CANOLA, MELAZA BICARBONATO DE SODIO, CARBONATODE CALCIO, <span class=""allergen"">LECITINA DE SOYA</span>, SAL), GLUCOSA, CHISPAS DE CHOCOLATE 7%) (PASTA DE CACAO, AZUCAR, <span class=""allergen"">LECITINA DE SOYA</span>, SOLIDOS DE LA LECHE, SABORIZANTE NATURAL), ARROZ CRUJIENTE HARINA DE ARROZ AZUCAR, GLUCOSA-FRUCTOSA, CARBONATO DE CALCIO, EXTRACTO DE CEBADA MALTEADA (CONTIENE SOLIDOS DE JARABE DE MAIZ), SALI, AZUCAR, GLUCOSA-FRUCTOSA, FRUCTOSA GLICERINA ACEITE VEGETAL DE CANOLA, MIEL, COCO DESHIDRATADO SIN ENDULZAR LECITINA DE SOYA, SAL, HOJUELAS DE TRIGO, ACIDO ASCORBICO, SABORIZANTE NATURAL CONTIENE: <span class=""allergen"">LECHE</span>, SOYA AVENA CEBADAY TRIGO. <span class=""allergen"">ESTE PRODUCTO CONTIENE GLUTEN</span> . Sinoda comnletamente satisfecho.con los productos de Kirkland Signature por cualquier razón durante la vida útil del producto (minimo 60 días a partirde la fecha de compra),"
7501020513639,Lala Yoghurt Cereales,"['E100', 'E133', 'E170']","['E110', 'E129']","Leche parcialmente descremada pasteurizada de vaca, Preparado de cereales 15% (<span class=""allergen"">Trigo</span> , Avena , Linaza, Germen de trigo, Saborizante artificial, Ácido cítrico y Carbonato de Calcio [Reguladores de acidez], Amarillo 6, Cúrcuma, Caramelo Clase I, Rojo 40, Azul 1 [Colorantes] y Sorbato de potasio [Conservador), Azúcar, Fructosa, Leche descremada en polvo, Crema de leche, Almidón modificado, Grenetina, Carragenina, Pectina [Estabilizantes], Acesulfame K (19,6 mg/100 g) Estevia (2,8 mg/100 g) [Edulcorantes], Natamicina [Conservador] y Cultivos lácticos."
7501047903369,Pasta Delicia Toscana,['E101'],[],"DENTES: Cubo de salsa de vino (salsa de tomate [tomates, sal, azúcaf, aceite de oliva, aceite de girasol especies, ajo deshidratado y ácido cítrico], vino blanco, azúcar y sazonador [sal yodada, almidón, glucosa, azucar, glutamato monosodico cebolla, harina de trigo, proteína vegetal hidrolizada (soya y maíz), aceite vegetal parcialmente hidrogenado levadura de cerveza y especias, pasta (pasta [sémola de trigo durum, hierro, ácido nicotínico, vitamina B1, vitamina B2 y acido folico, mezcla de vegetales (coliflor, brócoli zanahoria y elote), pollo (filete de pechuga de pollo, aceite TBHQ, sal y pimienta) y aderezo, crema de leche entera, pasteurizada, leche evaporada [leche parcialmente descremada de vaca y Vitamina A y vitamina D, Queso de leche de vaca pasteurizada de vaca, goma de algarrobo, goma xantana, enzimas y cultivos lacticos, mentequilla, grasa de leche de vaca, sólidos de leche, lecitina de soya], sazonador [sal yodada, almidon, glucosa, harina de trigo, proteína vegetal hidrolizada (soya y maíz), aceite vegetal parcialmente hidrolizado, levadura de cerveza y especias])."
2000000147313,Granola N1 con pasas y coco,"['E132', 'E133']","['E102', 'E129']","Hojuela de avena de grano entero, azúcares añadidos (azúcar de caña, piloncillo), pasas (5%), coco endulzado 5% (coco, azúcares añadidos, azúcar de caña, almidón), margarina, colorante artificial (amarillo 5, rojo 40, azúl 2, azúl 1), sal yodada, antioxidante (BHT), enzima"
7501079017157,Fusilli Arrabbiata,['E101'],[],"Sémola de trigo (Triticum durum), tiamina (vitamina B1), riboflavina (vitamina B2), niacina (Vitamina B3), hierro (sulfato ferroso) y ácido fólico."
0078139735179,Orange Chicken,['E101'],[],"INGREDIENTES POLLO: Carne de pollo con carne de res, Agua, Harina de trgo enriquecido sin blanquear (Niacina, Hierro reducido, Mononitrato de Tiamina, Riboflavina, Acido fólico), Aceite vegetal (<span class=""allergen"">soya</span>), Almidón, contiene menos del 2 de: Almidón modificado, Sal, Proteína de soya aislada, Carbonato de Potasio, Dextrosa, <span class=""allergen"">Huevo</span>, Especias, Sólidos de leche, Carragenano, Fosfato tricalcio, Bicarbonato de Sodio. SALSA: Agua, Azúcar, Vinagre destilado, Salsa de soya (Agua, <span class=""allergen"">Trigo</span>, <span class=""allergen"">Soya</span>, Sal, Almidón de maíz modificado, Especias, Jengibre, Ajo, Saborizante de mandarina."
0884912365200,Cereal Oreo’s,"['E101', 'E170']",[],"INGREDIENTES; Aritos de cereal sabor a chocolate (80%): Harina de maíz (45%), azúcares añadidos (28,7%) (azúcar (sacarosa)), harina de grano entero de avena* (12%), cacao en polvo (procesado con álcali) (7%), porción de galleta oreo (harina de trigo enriquecida+ (harina de trigo, vitamina B3 (niacina), hierro reducido (como fuente de hierro), vitamina B1 (mononitrato de tiamina), vitamina B2 (riboflavina), ácido fólico), azúcares añadidos (1,5%) (azúcar (sacarosa), azúcar invertida), aceite vegetal, cacao en polvo (procesado en álcali) (0,6%), levadura (bicarbonato de sodio y/o fosfato de calcio), sal, lecitina de soya, pasta de cacao, saborizante natural), sal, aceite vegetal, saborizante natural y artificial. Discos blancos de cereal sabor a vainilla (20%): Harina de arroz (67,7%), azúcares añadidos (27%) (azúcar (sacarosa)), almidón de maíz, carbonato de calcio, sal, saborizante artificial (vainilla). BHT (agregado al envase para conservar la frescura del producto). CONTIENE: GLUTEN (AVENA, TRIGO) Y SOYA."
7500533025189,Wrinkled Chips sabor Salsas Negras,['E160c'],"['E102', 'E110', 'E129']","PAPA, ACEITE VEGETAL (PALMA), SAZONADOR SABOR SALSAS NEGRAS [SAL YODADA, MALTODEXTRINA, PROTEÍNA VEGETAL HIDROLIZADA (MAIZ), VINAGRE EN POLVO, GLUTAMATO MONOSÓDICO, LIMÓN EN POLVO (0.9%), ÁCIDO CITRICO, CHILE GUAJILLO (0.6%), COLORANTE CAFÉ (AMARILLO 6, AMARILLO 5, ROJO 40 YAZUL 1), ESPECIAS (0.1%), ACEITE VEGETAL (CANOLA), OLEORRESINA DE PAPRIKA] Y SILICATO DE CALCIO CONTIENE AMARILLO 5 (TARTRAZINA). PUEDE CONTENER: NUECES DE ARBOL, SOYA, LECHE, CACAHUATE Y GLUTEN"
7501073427532,Trix,['E101'],['E129'],"(con antioxidante: extracto de romero), regulador de acidez (ácido cítrico), vitaminas y minerales (niacina, vitamina B6, ácido fólico, ácido pantoténico, hierro, zinc, calcio, vitamina B2), colorante (FCF, Rojo allura AC)"
7802225688758,Rocklets Galletas sabor Vainilla,['E101'],"['E102', 'E110', 'E129', 'E132', 'E133', 'E171']","HARINA ENRIQUECIDA (HARINA DE TRIGO, HIERRO, NIACINA, TIAMINA, ÁCIDO FÓLICO, RIBOFLAVINA), CHOCOLATE CONFITADO 13% [AZÚCAR, MANTECA DE CACAO, MASA DE CACAO, LECHE ENTERA EN POLVO, LECHE DESCREMADA EN POLVO, COLORANTES (DIÓXIDO DE TITANIO (E171), ROJO ALLURA AC (E129), TARTRAZINA (E102), AZUL BRILLANTE FCF (E133), AMARILLO OCASO (E110), INDIGOTINA (E132)), EMULSIONANTES (LECITINA DE SOJA, POLIGLICEROL POLIRRICINOLEATO), SUSTANCIAS DE RECUBRIMIENTO (GOMA LACA, CERA CARNAUBA), ESTABILIZANTE (GOMA ARÁBIGA), MALTODEXTRINA, SABORIZANTE IDÉNTICO AL NATURAL], AZÚCAR, MANTECA DE PALMA FRACCIONADA, CHIPS SABOR CHOCOLATE 8% [AZÚCAR, GRASA VEGETAL HIDROGENADA E INTERESTERIFICADA (GRASA DE PALMISTE), CACAO EN POLVO, EMULSIONANTE (LECITINA DE SOJA), SABORIZANTE ARTIFICIAL, SAL], ALMIDÓN DE MAÍZ, LECHE ENTERA EN POLVO, MIEL, DEXTROSA, LEUDANTES QUÍMICOS (BICARBONATO DE AMONIO, BICARBONATO DE SODIO), SABORIZANTES ARTIFICIALES, SAL, EMULSIONANTE (LECITINA DE SOJA)."
7500093712611,cereal de avena integral con pasas,"['E101', 'E170']",['E100'],"TRIGO DE GRANO ENTERO, HOJUELAS DE AVENA DE GRANO ENTERO, AZÚCAR, 15% UVA PASA, EXTRACTO DE MALTA, ALMIDÓN, FIBRA DE AVENA, SALVADO DE AVENA, CLORURO DE POTASIO, SAL YODADA, CARBONATO DE CALCIO, EXTRACTO DE AVENA, VITAMINAS Y MINERALES (VITAMINA C, HIERRO, ZINC, NIACINA, VITAMINA B2, ÁCIDO FÓLICO, VITAMINA E, VITAMINA B6, VITAMINA A, VITAMINA B1, VITAMINA D, VITAMINA B12), BHT, SUCRALOSA (0.04g/100g DE PRODUCTO), SABORIZANTE ARTIFICIAL, COLORANTES (EXTRACTO DE ANNATO, CURCUMINA), <span class=""allergen"">LECITINA DE SOYA</span>."
7501000606566,Galletas con relleno sabor chocolate,['E110'],"['E102', 'E132', 'E133']","AZÚCARES AÑADIDOS (AZÚCAR), HARINA DE TRIGO, GRASA VEGETAL, COCOA, SÓLIDOS DE LA LECHE, ALMIDON SA 30RIZANTES ARTIFICIALES SALLYCUADA, COLOF ANTES (ROD ALLURA AC Y SUS LACAS, AMARILLO OCASO FCF Y SUS LACAS, INDIGOTINA LACA, TARTRAZINA, AZUL BRILLANTE FCF CARAMELO CLASE IV), EMULSIFICANT (LECITINA D SOYA) CONTIENE TRIGO (GLUTEN), LE HE Y SO A PUEDE CONTENER HUEVO NUECES DE ÁRBOLES, CACAHUATE Y OTROS CEREALES CON GLUTEN.V20"
7501013103151,Jumex,['E120'],[],"PORCIONES POR ENVASE: 1
DECLARAGION NUTRIMENTAL
TAMANO DE LA PORCION 200 ml
TAMANO DE LA PORCION 200 m
CONTENIDO EN 100 ml
CONTENIDO
ENERGETICO
PROTEINAS
GRASAS TOTALES
GRASAS SATURADAS
GRASAS TRANS
HIDRATOS DE CARBONO
DISPONIBLES
AZUCARES
AZUCARES ANADIDOS
FIBRA DIETETICA
SODIO
CONTENIDO ENERGETICO
POR ENVASE
$2 kcal (221 kJ)
0g
0g
0g
Omg
13g
139
13g
0g
19 mg
104 kcal (442 kJ)
NOM-051-SCFI/SSA1-2010.
INGREDIENTES: Agua, Azucares
de
Anadidos (Jugo
Uva de
Concentrado (30%), Jarabe de Maiz
Fructosa, Sacarosa),
Saborizante Identico al Natural a Uva,
Acido Citrico, Caramelo Clase IV,
Acido Tartarico y Carmin.
de Alta"
7501005107150,Fécula de maíz para preparar atole fortificado,['E170'],[],"Fécula de maíz, saborizante idéntico al natural, sal yodada, colorante natural, mezcla de vitaminas y minerales y carbonato de calcio."
7501059289819,Fitness,"['E101', 'E170']",[],"hojuelas de trigo integral (60,1%), fibra soluble, arroz (9,3%), <span class=""allergen"">almendras</span> (7,2%), salvado de trigo, azúcares añadidos (miel (2,9%) y azúcar), monoglicéridos y diglicéridos de ácidos grasos, sal, saborizante natural, fosfato trisódico, edulcorante (sucralosa (42 mg/100 g)] y mezcla de tocoferoles, carbonato de calcio, hierro, zinc, vitamina B3, vitamina B5, vitamina B1, vitamina B6, vitamina B2 y vitamina B9. Contiene <span class=""allergen"">gluten</span> y <span class=""allergen"">almendras</span>."
7501791635257,CROSTINI TOMATE Y ROMERO,['E101'],[],"Harina de Trigo Enriquecida (Harina de Trigo, Niacina, Hierro, Zinc, Tiamina, Riboflavina, Acido Fólico), Sal Yodada, Grasa Vegetal, Azúcar, Tomate Deshidratado (4,5 % min.), Romero (2,3 % min.), Mejorador de Masa (Harina de Soya, Ésteres de Ácido Diacetil Tartárico, Monoglicéridos, Carragenina, Ácido Ascórbico, Alfa Amilasa, Azodicarbonamida, Hemicelulosa), Levadura, Harina de Malta, Propionato de Calcio como conservador, TBHQ como Antioxidante. CONTIENE: Trigo (Gluten) Y Soya. Elaborado en equipos que procesan productos que contienen Leche, Huevo, Cebada y Nuez, por lo que puede contener trazas de éstos."
