code,estrato,texto,anotador_1,anotador_2,notas
7501031111190,sintetico,"DIGESTA: HARINA DE TRIGO, GRASA VEGETAL PARCIALMENTE HIDROGENADA, AZÚCAR, AVENA, ACEITE VEGETAL PARCIALMENTE HIDROGENADO, MALTA, MIEL, LECHE EN POLVO, MALTODEXTRINA, HARINA DE SOYA, BICARBONATO DE AMONIO, SAL YODADA BICARBONATO DE SODIO, FOSFATO MONOCALCICO Y SABORIZANTE ARTIFICIAL. BARQUILLETE HARINA DE TRIGO, AZÚCAR, HUEVO, GRASA VEGETAL PARCIALMENTE HIDROGENADA LECHE EN POLVO, MALTODEXTRINA, LECITINA DE SOYA, SAL YODADA, BICARBONATO DE SODIO MONOCALCICO, SABORIZANTES ARTIFICIALES, COLORANTE ARTIFICIAL TARTRAZINA (AMARIL FD&C 5), COLORANTE ARTIFICIAL AMARILLO OCASO FCF (AMARILLO FD&C BY COLORANTE ARTIFICIAL ROJO ALLURA (ROJO FD&C 40), cOLOMBINA: GALLETAI HARINA DE TRIGO VEGETAL PARCIALMENTE HIDROGENADA, LECITINA DE SOYA, SAL YODADA, BICARBONATO DE SODIO, BICARBONATO DE AMONIO, COLORANTE ARTIFICIAL TARTRAZINA (AMARILLO FD8C 6) COLORANTE ARTIFICIAL AMARILLO OCASO FOF (AMARILLO FD&C 6) COLORANTE ARTIFICAL ROJO ALLURA (ROJO FD&C 40) RELLENO (58%): NATA GRASA VEGETAL PARCIALMENTE HIDROGENADA, LECHE EN POLVO, AZÚCAR, MALTODEXTRINA SABORIZANTE ARTIFICIAL, SAL YODADA, Y ANTIOXIDANTE (BHABHT) FRESA: AZÚCAR, GRASA VEGETAL PARCIALMENTE HIDROGENADA, LECHE EN POLVO, MALTODEXTRINA, SABORIZANTE ARTIFICIAL, SAL YODADA. COLORANTE ARTIFICIAL AZORRUBINA, ACIDO FOSFORICO Y ANTIOXIDANTE (BHA, BHT) WAFFERONATTA®: GALLETA: HARINA DE TRIGO, GRASA VEGETAL PARCIALMENTE HIDROGENADA, LECITINA DE SOYA, BICARBONATO DE AMONIO, SAL YODADA, BICARBO SODIO, COLORANTES ARTIFICIALES: TARTRAZINA (AMARILLO FD&c 5), COLORANTE ARTIFICIAL AMARILLO OCASO FCF (AMARILLO FD&C 6) Y COLORANTE ARTIFICIAL ROJO ALLURA (ROJO FD&C 40) RELLENO (68%): GRASA VEGETAL PARCIALMENTE HIDROGENADA, LECHE EN POLVO. AZUCAR, MALTODEXTRINA, SABORIZANTE ARTIFICIAL Y SAL YODADA. BARQUILLETE CUBIERTO HARINA DE TRIGO, AZÚCAR, HUEVO, GRASA VEGETAL PARCIALMENTE HIDROGENADA, LECHE EN POLVO, MALTODEXTRINA, LECITINA DE SOYA, SAL YODADA, BICARBONATO DE SODIO, FOSFATO MONOCALCICO, SABORIZANTES ARTIFICIALES, COLORANTE ARTIFICIAL TARTRAZINA (AMARILLO FD&C 5), COLORANTE ARTIFICIAL AMARILLO OCASO FCF (AMARILLO FD&C ARTIFICIAL PARCIALMENTE HIDROGENADA, COCOA, LECHE EN POLVO, SABORIZANTE ARTIFICIAL Y LEC DE SOYA CANASTA: HARINA DE TRIGO, AZÜCAR, GRASA VEGETAL PARCIALMENTE HIDROGENADA, COCOA EN POLVO, LECHE EN POLVO, ACEITE VEGETAL PARCIALMENTE HIDROGENADO HUEVO, MALTODEXTRINA, HARINA DE SOYA, COLORANTE ARTIFICIAL CARAMELO 6) Y COLORANTE ROJO ALLURA (ROJO FD&C 40). COBERTURA (36%): AZÚCAR, GRASA VEGETAL ATO DE AMONIO, BICARBONATO DE SODIO, SAL YODADA, FOSFATO MONOCALCIcO OLORANTE ARTIFICIAL CAFÉ HT (CAFÉ CHOCOLATE HT), SABORIZANTES ARTIFICIALES Y OXIDANTE (BHA, BHT). RELLENO (15%): AZUCAR, GRASA VEGETAL PARCIALMENTE HDRRGENADA, LECHE EN POLVO, MALTODEXTRINA, SABORIZANTE ARTIFICIAL, SAL YODADA COLORANTE ARTIFICIAL AZORRUBINA (ROJO D&C 5), ACIDO FOSFÓRICO Y ANTIOXIDANTE (BHA BHT), PETIT: CHOCOLATE: HARINA DE TRIGO, AZUCAR, GRASA VEGETAL PARCIALMENTE HIDROGENADA, COCOA, LECHE EN POLVO, HUEVO, MALTODEXTRINA, HARINA DE SOYA COLORANTE ARTIFICIAL CARAMELO, BICARBONATO DE AMONIO, SAL YODADA, FOSFATO MONOCALCICO, COLOR CAFÉ HT (CAFE CHOCOLATE HT), SABORIZANTE ARTIFICIAL Y ANTIOXIDANTE (BHT, BHA) VAINILLA: HARINA DE TRIGO, GRASA VEGETAL HIDROGENADA, AZUCAR, LECHE EN POLVO, MALTODEXTRINA, HARINA DE SOYA SAL YODADA BICARBONATO DE AMONIO, BICARBONATO DE SODIO, FOSFATO M ARTIRALES Y ANTIOXIDANTE (BHA, BHT) RELLENO (15%) PARCIALMENTE SABORIZANTES ARTIFICIALES YANTIOXIDANTE (BHA, BHT)",,,
7503021481139,sintetico,"Grenetina, Maltodextrina, Acldo fu - márico, Citrato de sodio, Sabortzante artificial, Niutevla Ela (Stevia-Reb 60 133 mg) y Colorantes Rojo Noa. 40 y Azul No. 1 Cond",,,
7501040006197,sintetico,"CH
HIME
Chorizo tapO casero
ingredientes: Cornios (Come de cerdo, come de ave, grasa de cerdo,
gua, SOYA texturizada, condimenics, vinegre, sol yodado, sorbato de
potasio, nitio de sodio, rojo curry. Puede coniener: GLUTEN. Intormodon
nurimento per cada 30g Contenido snegico 308 kl (74 kcol),
profeipas 3,6
Corbohidpnies icr
Sbra die 2 socia 272 mg AY hixcico. Bobosodo por
Siggin Akeses Mos A C Mi leal Ho: 1320 Sur,
Moilteney LR 4300 C�nservo el pmblente, deposite el emtse vade
mla basterh. Conservese en refrigeroion de 2�C �4�C
. graszs (ipidos) 5,9de s cooles grasa saturede 2,3c
les de corbono) 1.7 de les kuales azucores 01
C�nsumase bien cocido
APRO
Cha porcion de 30
RTCIONADO
merg-
Mecca
Ce 200",,,
7503004911400,sintetico,"Tortilla (harina de maiz nixtamalizado) Relleno (hojuelas de soya texturizada, carne de res y especias) aceite vegetal, colorante artificial amarillo 5 tartrazina, y amarillo 6, chile morita, vinagre, ajo, grenetina y/o espesante, glutamato monosodico, benzoato de sodio(como conservador), sorbato depotasio, BHT-Butil (como antioxidante).",,,
7501032398392,sintetico,"Leche descremada pasteurizada y/o reconstituido pasteurizada de vaca,, azucares, crema, jarabe sabor fresa, (sucralosa (6,07mg10l modificado, sólidos de leche y cultivos lácticos.
amarillo 5 (tartrazina).
Puede contener fresa.
Contenido minimo de gn de vaca 2,3%.",,,
7501013163148,sintetico,"Agua, Jugo de Uva de Concentrado (69%), Acido Citrico,Saborizante Uva Idéntico al Natural, Sucralosa (15 mg/100g de producto), Benzoato de Sodio, Sorbato de Sodio, Aciado Tartanic, Rojo 40 y Azul 1.",,,
7502261278752,sintetico,"Harina de trigo (gluten), azúcares añadidos (azúcar, jarabe de maiz de alta fructosa) aceite vegetal, almidón bicarbonato de sodio, emulsificante (monoestearato de propilenglicol, monoestearato de glicerilo, estearoil-2-lactilato de sodiol cloruro de potasio, fosfato tricálcico, saborizante artificial a naranja vainilla, bicarbonato de amonio, inosinato de sodio, guanilato de sodio, sal yodada, fosfato monocalcico, bisulfito de sodio, colorantes artificiales (amarillo 6, amarillo 5), enzimas gluten Contiene: Trigo (gluten), sulfitos y trazina. Puede contener: Leche, cacahuate, coco, soya y/o ajonjoli.",,,
7501011123588,sintetico,"MAÍZ NIXTAMALIZADO, ACEITE VEGETAL (CONTIENE TBHQ), CONDIMENTO [<span class=""allergen"">QUESO</span>, ALMIDÓN, SAL YODADA, MALTODEXTRINA, GLUTAMATO MONOSÓDICO, ESPECIAS, SABORIZANTES, HARINA DE ARROZ, CHILES, GLUCOSA, <span class=""allergen"">HARINA DE TRIGO</span>, ÁCIDO CÍTRICO, INOSINATO DE SODIO, GUANILATO DE SODIO, ACEITE DE SOYA PARCIALMENTE HIDROGENADO, AZÚCAR, PROTEINA VEGETAL HIDROLIZADA DE MAÍZ, AMARILLO OCASO FCF, ALMIDÓN MODIFICADO, SÓLIDOS DE LA LECHE, TARTRAZINA, ÁCIDO LÁCTICOJ, ACHIOTE.",,,
7501073839144,sintetico,"Agua purificada, Acido citrico, saborizantes artificiales, acido tartarico, benzoato de sodio y sorbato de potasio, mezcla Acesulfame K Sucralosa (28mg/10g) Citrato de Sodio, Colorantes artificiales (rojo 40 y azul 1) acido tanico, EDTA.",,,
7501031302819,sintetico,"Agua carbonatada, Azúcares Añadidos (Jarabe de Maíz de Alta Fructosa, Azúcar), Acido Citrico, Concentrado Mirinda Naranja, Almidón Modificado, Acido Málico, Goma Arábiga, Benzoato de Sodio, Goma Ester, Amarillo Ocaso FCF, Acesulfame K (10 mg /100 g de producto), Sucralosa (6 mg/100 g de producto). Citrato de Sodio.",,,
